Dataset,PublishTime,StartTime,SettlementDate,SettlementPeriod,FuelType,Generation
FUELINST,2024-01-08T16:00:00Z,2024-01-08T15:55:00Z,2024-01-08,32,NUCLEAR,3450
FUELINST,2024-01-08T16:00:00Z,2024-01-08T15:55:00Z,2024-01-08,32,OCGT,0
FUELINST,2024-01-08T16:00:00Z,2024-01-08T15:55:00Z,2024-01-08,32,OIL,0
FUELINST,2024-01-08T16:00:00Z,2024-01-08T15:55:00Z,2024-01-08,32,OTHER,371
FUELINST,2024-01-08T16:00:00Z,2024-01-08T15:55:00Z,2024-01-08,32,PS,722
FUELINST,2024-01-08T16:00:00Z,2024-01-08T15:55:00Z,2024-01-08,32,WIND,10735
FUELINST,2024-01-08T15:55:00Z,2024-01-08T15:50:00Z,2024-01-08,32,BIOMASS,2985
FUELINST,2024-01-08T15:55:00Z,2024-01-08T15:50:00Z,2024-01-08,32,CCGT,23692
FUELINST,2024-01-08T15:55:00Z,2024-01-08T15:50:00Z,2024-01-08,32,COAL,1197
FUELINST,2024-01-08T15:55:00Z,2024-01-08T15:50:00Z,2024-01-08,32,INTELEC,-27
FUELINST,2024-01-08T15:55:00Z,2024-01-08T15:50:00Z,2024-01-08,32,INTEW,0
FUELINST,2024-01-08T15:55:00Z,2024-01-08T15:50:00Z,2024-01-08,32,INTFR,-998
FUELINST,2024-01-08T15:55:00Z,2024-01-08T15:50:00Z,2024-01-08,32,INTIFA2,-4
FUELINST,2024-01-08T15:55:00Z,2024-01-08T15:50:00Z,2024-01-08,32,INTIRL,-370
FUELINST,2024-01-08T15:55:00Z,2024-01-08T15:50:00Z,2024-01-08,32,INTNED,1004
FUELINST,2024-01-08T15:55:00Z,2024-01-08T15:50:00Z,2024-01-08,32,INTNEM,-324
FUELINST,2024-01-08T15:55:00Z,2024-01-08T15:50:00Z,2024-01-08,32,INTNSL,256
FUELINST,2024-01-08T15:55:00Z,2024-01-08T15:50:00Z,2024-01-08,32,INTVKL,-146
FUELINST,2024-01-08T15:55:00Z,2024-01-08T15:50:00Z,2024-01-08,32,NPSHYD,785
FUELINST,2024-01-08T15:55:00Z,2024-01-08T15:50:00Z,2024-01-08,32,NUCLEAR,3460
FUELINST,2024-01-08T15:55:00Z,2024-01-08T15:50:00Z,2024-01-08,32,OCGT,0
FUELINST,2024-01-08T15:55:00Z,2024-01-08T15:50:00Z,2024-01-08,32,OIL,0
FUELINST,2024-01-08T15:55:00Z,2024-01-08T15:50:00Z,2024-01-08,32,OTHER,331
FUELINST,2024-01-08T15:55:00Z,2024-01-08T15:50:00Z,2024-01-08,32,PS,707
FUELINST,2024-01-08T15:55:00Z,2024-01-08T15:50:00Z,2024-01-08,32,WIND,10691
FUELINST,2024-01-08T15:50:00Z,2024-01-08T15:45:00Z,2024-01-08,32,BIOMASS,2982
FUELINST,2024-01-08T15:50:00Z,2024-01-08T15:45:00Z,2024-01-08,32,CCGT,23660
FUELINST,2024-01-08T15:50:00Z,2024-01-08T15:45:00Z,2024-01-08,32,COAL,1281
FUELINST,2024-01-08T15:50:00Z,2024-01-08T15:45:00Z,2024-01-08,32,INTELEC,-27
FUELINST,2024-01-08T15:50:00Z,2024-01-08T15:45:00Z,2024-01-08,32,INTEW,0
FUELINST,2024-01-08T15:50:00Z,2024-01-08T15:45:00Z,2024-01-08,32,INTFR,-999
FUELINST,2024-01-08T15:50:00Z,2024-01-08T15:45:00Z,2024-01-08,32,INTIFA2,-4
FUELINST,2024-01-08T15:50:00Z,2024-01-08T15:45:00Z,2024-01-08,32,INTIRL,-345
FUELINST,2024-01-08T15:50:00Z,2024-01-08T15:45:00Z,2024-01-08,32,INTNED,1003
FUELINST,2024-01-08T15:50:00Z,2024-01-08T15:45:00Z,2024-01-08,32,INTNEM,-324
FUELINST,2024-01-08T15:50:00Z,2024-01-08T15:45:00Z,2024-01-08,32,INTNSL,250
FUELINST,2024-01-08T15:50:00Z,2024-01-08T15:45:00Z,2024-01-08,32,INTVKL,-146
FUELINST,2024-01-08T15:50:00Z,2024-01-08T15:45:00Z,2024-01-08,32,NPSHYD,799
FUELINST,2024-01-08T15:50:00Z,2024-01-08T15:45:00Z,2024-01-08,32,NUCLEAR,3462
FUELINST,2024-01-08T15:50:00Z,2024-01-08T15:45:00Z,2024-01-08,32,OCGT,0
FUELINST,2024-01-08T15:50:00Z,2024-01-08T15:45:00Z,2024-01-08,32,OIL,0
FUELINST,2024-01-08T15:50:00Z,2024-01-08T15:45:00Z,2024-01-08,32,OTHER,337
FUELINST,2024-01-08T15:50:00Z,2024-01-08T15:45:00Z,2024-01-08,32,PS,435
FUELINST,2024-01-08T15:50:00Z,2024-01-08T15:45:00Z,2024-01-08,32,WIND,10623
FUELINST,2024-01-08T15:45:00Z,2024-01-08T15:40:00Z,2024-01-08,32,BIOMASS,2990
FUELINST,2024-01-08T15:45:00Z,2024-01-08T15:40:00Z,2024-01-08,32,CCGT,23597
FUELINST,2024-01-08T15:45:00Z,2024-01-08T15:40:00Z,2024-01-08,32,COAL,1336
FUELINST,2024-01-08T15:45:00Z,2024-01-08T15:40:00Z,2024-01-08,32,INTELEC,-27
FUELINST,2024-01-08T15:45:00Z,2024-01-08T15:40:00Z,2024-01-08,32,INTEW,0
FUELINST,2024-01-08T15:45:00Z,2024-01-08T15:40:00Z,2024-01-08,32,INTFR,-998
FUELINST,2024-01-08T15:45:00Z,2024-01-08T15:40:00Z,2024-01-08,32,INTIFA2,-4
FUELINST,2024-01-08T15:45:00Z,2024-01-08T15:40:00Z,2024-01-08,32,INTIRL,-320
FUELINST,2024-01-08T15:45:00Z,2024-01-08T15:40:00Z,2024-01-08,32,INTNED,1004
FUELINST,2024-01-08T15:45:00Z,2024-01-08T15:40:00Z,2024-01-08,32,INTNEM,-324
FUELINST,2024-01-08T15:45:00Z,2024-01-08T15:40:00Z,2024-01-08,32,INTNSL,250
FUELINST,2024-01-08T15:45:00Z,2024-01-08T15:40:00Z,2024-01-08,32,INTVKL,-146
FUELINST,2024-01-08T15:45:00Z,2024-01-08T15:40:00Z,2024-01-08,32,NPSHYD,780
FUELINST,2024-01-08T15:45:00Z,2024-01-08T15:40:00Z,2024-01-08,32,NUCLEAR,3458
FUELINST,2024-01-08T15:45:00Z,2024-01-08T15:40:00Z,2024-01-08,32,OCGT,0
FUELINST,2024-01-08T15:45:00Z,2024-01-08T15:40:00Z,2024-01-08,32,OIL,0
